GENUS,SPEC,DATE,SEX,LAT_O,LONG_O,ERROR_O,LAT_HR,LONG_HR,ERROR_HR
LASIURUS,CINEREUS,4/30/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,4/30/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,4/30/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,5/2/1977,M,23.55,-105.383333,3,23.578883,-105.357659,2
LASIURUS,CINEREUS,5/19/1979,M,23.55,-105.383333,3,23.553089,-105.385017,2
LASIURUS,CINEREUS,8/12/1979,F,23.55,-105.383333,3,23.553089,-105.385017,2
LASIURUS,CINEREUS,11/11/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,11/11/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,11/11/1977,M,23.55,-105.383333,3,23.587884,-105.373211,2
LASIURUS,CINEREUS,11/22/1979,M,23.55,-105.383333,3,25.538941,-105.445187,1.5
LASIURUS,CINEREUS,11/22/1979,M,23.55,-105.383333,3,25.538941,-105.445187,1.5
LASIURUS,CINEREUS,6/8/1963,M,26.298822,-106.201719,1,26.300828,-106.195255,1
LASIURUS,CINEREUS,6/9/1963,M,26.298822,-106.201719,1,26.300828,-106.195255,1
LASIURUS,CINEREUS,5/1/1979,U,26.05,-105.516667,11,23.474426,-104.393304,2
LASIURUS,CINEREUS,4/11/1984,M,21.3,-100.516667,26.9,21.371635,-100.905823,2
LASIURUS,CINEREUS,4/11/1984,M,21.3,-100.516667,26.9,21.371635,-100.905823,2
LASIURUS,CINEREUS,4/11/1984,M,21.3,-100.516667,26.9,21.371635,-100.905823,2
LASIURUS,CINEREUS,4/9/1984,M,21.25,-100.266667,11,21.035696,-100.179269,1
LASIURUS,CINEREUS,4/9/1984,M,21.25,-100.266667,11,21.035696,-100.179269,1
LASIURUS,CINEREUS,2/28/1986,M,20.133333,-100.333333,10,20.081032,-100.307244,3
LASIURUS,CINEREUS,3/29/1997,M,20.002162,-100.718793,3,19.98881,-100.696671,2
LASIURUS,CINEREUS,3/29/1997,M,20.002162,-100.718793,3,19.98881,-100.696671,2
LASIURUS,CINEREUS,4/14/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/14/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/14/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/14/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/14/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/15/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/15/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/15/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/19/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/19/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/19/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/19/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/19/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,4/19/1963,M,17.5,-99.666667,5,17.543941,-99.626691,1.5
LASIURUS,CINEREUS,10/13/1991,M,17.5,-99.666667,5,17.546394,-99.632558,1
